Title,Director,Cast,Genre,Year
The Old Bookkeeper,D. W. Griffith,"W. Chrystie Miller, Blanche Sweet",Drama,1912
Petticoat Camp,,"William Garwood, Florence La Badie",Comedy,1912
Please Help the Pore,,"William Garwood, Riley Chamberlin, Mignon Anderson, Marie Eline",Drama,1912
The Power of Melody,,"Harry von Meter, Vivian Rich, Eugenie Forde",Drama,1912
Put Yourself in His Place,Theodore Marston,"William Garwood, Marguerite Snow",Drama,1912
Saved from the Titanic,Étienne Arnaud,Dorothy Gibson,,1912
A Six Cylinder Elopement,,"William Garwood, Riley Chamberlain, Marguerite Snow",Romantic comedy,1912
Standing Room Only,,"William Garwood, Mignon Anderson",Drama,1912
The Street Singer,,"Earle Foxe, Alice Joyce",Drama,1912
The Tell-Tale Message,,"Earle Foxe, Hazel Neason, Stuart Holmes",Drama,1912
The Thunderbolt,,"William Garwood, James Cruze, David Thompson",Drama,1912
An Unseen Enemy,D. W. Griffith,"Lillian Gish, Dorothy Gish",,1912
The Voice of Conscience,,"Florence La Badie, Jean Darnell",Drama,1912
What Happened to Mary,Charles Brabin,"Mary Fuller, Marc McDermott",,1912
When the Heart Calls,Al Christie,"Lee Moran, Russell Bassett, Louise Glaum",Western comedy,1912
With the Mounted Police,,"William Garwood, Mignon Anderson",Romantic thriller,1912
The Young Millionaire,,"Earle Foxe, Alice Joyce",Drama,1912
The Adventures of Kathlyn,Francis J. Grandon,Kathlyn Williams,Adventure serial,1913
American Born,Lorimer Johnston,"Sydney Ayres, Harry von Meter, Charles Cummings",Drama,1913
"Article 47, L'",,"William Garwood, Victory Bateman, Howard Davies",,1913
Back to Life,Allan Dwan,"J. Warren Kerrigan, Pauline Bush",Drama,1913
Barney Oldfield's Race for a Life,Mack Sennett,"Mack Sennett, Mabel Normand, Ford Sterling, Barney Oldfield",Comedy,1913
Beau Brummel,James Young,"James Young, Clara Kimball Young",Adventure,1913
Beautiful Bismark,,William Garwood,Drama,1913
Bianca,Robert Thornby,George Cooper,,1913
Bloodhounds of the North,Allan Dwan,"Murdock MacQuarrie, Pauline Bush",Drama,1913
Bob's Baby,,Jean Acker,Comedy,1913
The Caged Bird,,"William Garwood, Marguerite Snow",Drama,1913
Calamity Anne's Beauty,Allan Dwan,Louise Lester,,1913
Calamity Anne's Dream,Allan Dwan,Louise Lester,,1913
Calamity Anne's Inheritance,Allan Dwan,Louise Lester,,1913
Calamity Anne's Vanity,Allan Dwan,Louise Lester,,1913
"Calamity Anne, Heroine",Allan Dwan,Louise Lester,,1913
Cohen Saves the Flag,Mack Sennett,"Ford Sterling, Mabel Normand",Comedy,1913
The Cub Reporter's Temptation,,"Earle Foxe, Alice Joyce, Tom Moore",Drama,1913
Cupid in a Dental Parlor,Henry Lehrman,Fred Mace,Comedy,1913
A Desperate Chance,Kenean Buel,"Earle Foxe, Alice Hollister, Robert G. Vignola, Helen Lindroth, Miriam Cooper",Drama,1913
Dr. Jekyll and Mr. Hyde,Herbert Brenon and Carl Laemmle,King Baggot,Horror,1913
The Evidence of the Film,"Lawrence Marston, Edwin Thanhouser","William Garwood, Marie Eline",Crime,1913
The Face at the Window,,"Earle Foxe, Irene Boyle, Stuart Holmes",Drama,1913
The Fire Coward,,"Earle Foxe, Irene Boyle",Drama,1913
The Flirt and the Bandit,Lorimer Johnston,,Drama,1913
For the Crown,Lorimer Johnston,"Charlotte Burton, Helen Armstrong, J. Warren Kerrigan",,1913
For the Flag,Lorimer Johnston,Charlotte Burton,Drama,1913
A Forest Romance,Frank Montgomery,"Harry von Meter, Mona Darkfeather",,1913
The Game Warden,,"Earle Foxe, Irene Boyle, Stuart Holmes",Romantic comedy,1913
The Girl and the Greaser,Allan Dwan,"Charlotte Burton, J. Warren Kerrigan, Louise Lester",,1913
The Greater Love,Allan Dwan,"Charlotte Burton, Mabel Brown, Edward Coxen",Drama,1913
His Chum the Baron,Mack Sennett,Ford Sterling,Comedy,1913
Hulda of the Netherlands,,,,1913
Hurricane in Galveston,King Vidor,,Drama,1913
In the Secret Service,Henry MacRae,Charles Bartlett,Western,1913
Justice of the Wild,Frank E. Montgomery,"Harry von Meter, Mona Darkfeather",Adventure,1913
Lady Babbie,Oscar A. C. Lund,"Barbara Tennant, Oscar A. C. Lund",Drama,1913
A Little Hero,George Nichols,"Mabel Normand, Harold Lloyd",Comedy,1913
The Mirror,Anthony O'Sullivan,Henry B. Walthall,,1913
Oil and Water,D. W. Griffith,"Blanche Sweet, Henry B. Walthall, Lionel Barrymore",Drama,1913
The Old Monk's Tale,J. Searle Dawley,Ben F. Wilson,Drama,1913
The Proof of the Man,,"Alexander Gaden, Edna Maison",Drama,1913
The Quakeress,Raymond B. West,Louise Glaum,Drama,1913
The Restless Spirit,Allan Dwan,"J. Warren Kerrigan, Pauline Bush",Drama,1913
The Rose of San Juan,Sydney Ayres,"Sydney Ayres, Charlotte Burton, Louise Lester",Drama,1913
Rory o' the Bogs,J. Farrell MacDonald,J. Warren Kerrigan,,1913
"Sally Scraggs, Housemaid",Robert Z. Leonard,"Robert Z. Leonard, Margarita Fischer",Comedy,1913
Shadows of the Moulin Rouge,Alice Guy,"Fraunie Fraunholz, Claire Whitney",Drama,1913
The Shoemaker and the Doll,,William Garwood,Drama,1913
The Telephone Girl and the Lady,D. W. Griffith,"Mae Marsh, Claire McDowell",Drama,1913
Three Friends,D. W. Griffith,"Henry B. Walthall, Blanche Sweet, Lionel Barrymore",Drama,1913
The Twelfth Juror,George Lessey,Ben F. Wilson,Drama,1913
Unto the Third Generation,Harry Solter,"Earle Foxe, Florence Lawrence, Matt Moore",Romantic drama,1913
While There's Life,,"Charlotte Burton, Jean Durrell",Drama,1913
Woman's Honor,Allan Dwan,"Charlotte Burton, Louise Lester",Drama,1913
Across the Pacific,Edwin Carewe,"Dorothy Dalton, Samuel E. Hines",Adventure,1914
The Amateur Detective,Carroll Fleming,"Carey L. Hastings, Ernest C. Warde, Muriel Ostriche",Comedy,1914
An American Citizen,J. Searle Dawley,"John Barrymore, Alexander Gaden",Comedy,1914
The Archeologist,Henry Otto,"Charlotte Burton, Edward Coxen, George Field, Winifred Greenwood, John Steppling",Drama,1914
Aristocracy,Thomas N. Heffron,"Tyrone Power Sr., Edna Mayo",Drama,1914
At the Potter's Wheel,Lorimer Johnston,"Charlotte Burton, Sydney Ayres, Caroline Frances Cooke, Louise Lester, Jack Richardson, Vivian Rich",Drama,1914
The Avenging Conscience,D. W. Griffith,"Henry B. Walthall, Blanche Sweet","Drama, Horror",1914
Back to the Farm,Oliver Hardy,"Herbert Tracey, Royal Byron, Eloise Willard, Mabel Paige, Oliver Hardy",Comedy,1914
The Baggage Smasher,,Fatty Arbuckle,Comedy,1914
The Bargain,Reginald Barker,"William S. Hart, J. Barney Sherry, Clara Williams",Western,1914
Barnyard Flirtations,Fatty Arbuckle,Fatty Arbuckle,Comedy,1914
A Bath House Beauty,Fatty Arbuckle,Fatty Arbuckle,Comedy,1914
The Battle of the Sexes,D. W. Griffith,"Donald Crisp, Lillian Gish",Drama,1914
The Beggar Child,William Desmond Taylor,"Charlotte Burton, Edward Coxen, George Field, Winifred Greenwood, John Steppling",,1914
Between Showers,Henry Lehrman,"Charlie Chaplin, Ford Sterling, Chester Conklin",,1914
Billy's Rival,William Desmond Taylor,"William Garwood, Louise Lester, Jack Richardson, Vivian Rich. Harry von Meter",,1914
A Blowout at Santa Banana,,"Charlotte Burton, Sydney Ayres, Louise Lester, Jack Richardson",Comedy,1914
The Body in the Trunk,John O'Brien,"William Garwood, George Larkin",,1914
The Boer War,George Melford,"Jane Wolfe, Marin Sais",War drama,1914
"Break, Break, Break",Harry A. Pollard,"B. Reeves Eason, William Garwood, Louise Lester, Jack Richardson, Vivian Rich, Harry von Meter",Drama,1914
Brewster's Millions,"Oscar Apfel, Cecil B. DeMille","Edward Abeles, Sydney Deane, Joseph Singleton",Comedy,1914
Brute Force,D. W. Griffith,"Robert Harron, Mae Marsh, William J. Butler, Wilfred Lucas",Drama,1914
Business Versus Love,Tom Ricketts,"Edward Coxen, Winifred Greenwood, Harry von Meter, Jack Richardson",,1914
A Busy Day,Charlie Chaplin,"Charlie Chaplin, Mack Swain, Phyllis Allen",Comedy,1914
The Butterfly,Tom Ricketts,"Charlotte Burton, George Field, Edward Coxen, Edith Borella, Jean Durrell, Ida Lewis, John Steppling",,1914
Calamity Anne's Love Affair,Tom Ricketts,"Charlotte Burton, Louise Lester, George Field, Edith Borella, B. Reeves Eason",Western,1914
The Call of the North,"Oscar Apfel, Cecil B. DeMille","Robert Edeson, Theodore Roberts",Adventure,1914
The Call of the Traumerei,Jacques Jaccard and Lorimer Johnston,"Charlotte Burton, Sydney Ayres, Caroline Frances Cooke, Jack Richardson",,1914
Called Back,Otis Turner,"Herbert Rawlinson, Ann Little, Allan Forrest",Drama,1914
The Cameo of the Yellowstone,Sydney Ayres,"William Garwood, Harry De Vere, Louise Lester",Western,1914
Captain Alvarez,Rollin S. Sturgeon,"Edith Storey, William Desmond Taylor, George Holt",Historical Drama,1914
Caught in a Cabaret,Mabel Normand,"Charlie Chaplin, Mabel Normand, Edgar Kennedy",Comedy,1914
Caught in the Rain,Charlie Chaplin,"Charlie Chaplin, Mack Swain, Alice Davenport",Comedy,1914
The Certainty of Man,,"Charlotte Burton, Sydney Ayres, Chick Morrison",Drama,1914
Chicken Chaser,Roscoe Arbuckle,"Fatty Arbuckle, Gordon Griffith",Comedy,1914
Cinderella,James Kirkwood,"Mary Pickford, Owen Moore, Isobel Vernon",Fantasy Drama,1914
The Cocoon and the Butterfly,Sydney Ayres,"William Garwood, Louise Lester",Drama,1914
The Combination of the Safe,Francis J. Grandon,Earle Foxe,Crime drama,1914
The Coming of the Padres,Lorimer Johnston,"Sydney Ayres, Perry Banks, Louise Lester",,1914
"Cruel, Cruel Love","George Nichols, Mack Sennett","Charlie Chaplin, Edgar Kennedy, Minta Durfee",Comedy,1914
Damaged Goods,"Tom Ricketts, Richard Bennett","Richard Bennett, Adrienne Morrison, Maude Milton",,1914
David Gray's Estate,,"Charlotte Burton, Sydney Ayres, Chick Morrison",,1914
Destinies Fulfilled,Lorimer Johnston,"Charlotte Burton, Sydney Ayres, Jacques Jaccard, Violet Knights",Comedy,1914
Does It End Right?,Sydney Ayres,"William Garwood, Charlotte Burton, Louise Lester, Vivian Rich",,1914
Dough and Dynamite,Charlie Chaplin,"Charlie Chaplin, Chester Conklin, Fritz Schade",Comedy,1914
The Envoy Extraordinary,Lorimer Johnston,"Jack Nelson, Caroline Frances Cooke",Drama,1914
The Escape,D. W. Griffith,"Donald Crisp, Blanche Sweet, Mae Marsh",Drama,1914
The Exploits of Elaine,"Louis J. Gasnier, George B. Seitz, Leopold Wharton","Pearl White, Sheldon Lewis",Drama serial,1914
The Face on the Bar Room Floor,Charles Chaplin,"Charles Chaplin, Cecile Arnold, Fritz Schade",Comedy,1914
The Fatal Mallet,Mack Sennett,"Charles Chaplin, Mabel Normand, Mack Sennett",Comedy,1914
Fate's Decree,,"William Garwood, Richard Henry Cummings, Billie West",,1914
Fatty's Magic Pants,Roscoe Arbuckle,"Fatty Arbuckle, Charly Chase",Comedy,1914
Feast and Famine,Sydney Ayres,"B. Reeves Eason, William Garwood, Harry von Meter",,1914
A Film Johnnie,George Nichols,"Charlie Chaplin, Fatty Arbuckle, Mabel Normand",,1914
The Final Impulse,Tom Ricketts,"Charlotte Burton, Perry Banks, William Bertram, Edward Coxen",,1914
The Floor Above,James Kirkwood Sr.,"Earle Foxe, Henry Walthall, Dorothy Gish",Mystery drama,1914
A Florida Enchantment,Sidney Drew,"Sidney Drew, Edith Storey",,1914
In the Footprints of Mozart,William Desmond Taylor,"Charlotte Burton, William Bertram, Edith Borella",,1914
The Forbidden Room,Allan Dwan,"Murdock MacQuarrie, Pauline Bush",Drama,1914
Gentlemen of Nerve,Charlie Chaplin,"Charlie Chaplin, Mabel Normand, Chester Conklin",Comedy,1914
Gertie the Dinosaur,Winsor McCay,"Winsor McCay, George McManus",Cartoon,1914
Getting Acquainted,Charlie Chaplin,"Charlie Chaplin, Mabel Normand, Phyllis Allen",Comedy,1914
The Ghost Breaker,"Oscar Apfel, Cecil B. DeMille","H. B. Warner, Rita Stanwood, Theodore Roberts",Drama,1914
The Girl in the Shack,Edward Morrissey,"Earle Foxe, Spottiswoode Aitken, Mae Marsh",,1914
A Good Little Devil,"Edwin S. Porter, J. Searle Dawley","Mary Pickford, Ernest Truex, David Belasco",Drama,1914
The Green-Eyed Devil,James Kirkwood,"Spottiswoode Aitken, Earle Foxe, William Garwood",,1914
A Happy Coersion,,"Perry Banks, William Bertram, Jacques Jaccard",,1914
The Hazards of Helen,,Helen Holmes,Adventure serial,1914
Her Friend the Bandit,Charles Chaplin,"Charles Chaplin, Mabel Normand, Charles Murray",Comedy,1914
Her Younger Sister,Frank Cooley,"Charlotte Burton, Fred Gamble",Comedy,1914
His Faith in Humanity,Sydney Ayres,"William Garwood, Louise Lester",,1914
His Father's Rifle,Edward LeSaint,"Earle Foxe, Bertram Grassby",Drama,1914
His Favourite Pastime,George Nichols,"Charlie Chaplin, Fatty Arbuckle, Viola Barry",Comedy,1914
"His Majesty, the Scarecrow of Oz",J. Farrell MacDonald,"Violet MacMillan, Pierre Couderc",Fantasy,1914
His Musical Career,Charlie Chaplin,"Charlie Chaplin, Mack Swain, Charley Chase",Comedy,1914
His New Profession,Charlie Chaplin,"Charlie Chaplin, Charley Chase, Fatty Arbuckle",Comedy,1914
His Prehistoric Past,Charlie Chaplin,"Charlie Chaplin, Mack Swain, Fritz Schade",Comedy,1914
