Title,Director,Cast,Genre,Year,new_Genre
Srimathi Vellostha,K. Raghavendra Rao,"Jagapati Babu, Devayani, Poonam",unknown,1998,unknown
Subhavartha,P. N. Ramachandra Rao,"Arjun, Soundarya",unknown,1998,unknown
Sultan,Sarath,"Nandamuri Balakrishna, Rachna Banerjee, Roja",unknown,1998,unknown
Suprabhatam,Bhimaneni Srinivasa Rao,"Srikanth, Raasi",unknown,1998,unknown
Suryavamsam,Bhimaneni Srinivasa Rao,"Daggubati Venkatesh, Meena",unknown,1998,unknown
Toli Prema,A. Karunakaran,"Pawan Kalyan, Keerthi Reddy",unknown,1998,Romance Drama Comedy
Ulta Palta,Relangi Narasimha Rao,"Rajendra Prasad, Reshma",unknown,1998,unknown
W/o V. Vara Prasad,Vamsy,"Vineeth, J. D. Chakravarthy",unknown,1998,unknown
Aavide Shyamala,Kodi Ramakrishna,"Prakash Raj, Ramya Krishna",unknown,1999,unknown
Alludugaaru Vachcharu,Ravi Raja Pinisetty,"Jagapati Babu, Kausalya, Heera Rajagopal",unknown,1999,Drama Comedy
Anaganaga Oka Ammai,Ramesh Sarangan,"Srikanth, Soundarya, Abbas, Raghuvaran",unknown,1999,unknown
Asala Sandadi,Anil Kishore,"Ali, Sangeetha (actress), Brahmanandam, Ranganath",unknown,1999,unknown
Bobbili Vamsam,K. S. Adhyaman,"Rajasekhar, Meena, Shruti",unknown,1999,unknown
Chala Bagundi,E. V. V. Satyanarayana,"Srikanth, Vadde Naveen, Malavika, Asha Saini",unknown,1999,unknown
Devi,Kodi Ramakrishna,"Prema, Bhanuchander, Sowkar Janaki",unknown,1999,Unknown
Dollar Dreams,Sekhar Kammula,"Satya Krishnan, Anish Kuruvilla",unknown,1999,unknown
English Pellam East Godavari Mogudu,Doraswamy Raju,"Srikanth, Ramya Krishna",unknown,1999,unknown
Harischandraa,Thulasi Kumar,"J. D. Chakravarthy, Raasi, Brahmanandam",unknown,1999,unknown
Hello Yama,Pavitran,"Suresh, Shruti, Indu",unknown,1999,unknown
Iddaru Mitrulu,K. Raghavendra Rao,"Chiranjeevi, Ramya Krishna, Sakshi Shivanand",unknown,1999,unknown
Kaama,Ashok Kumar,"Vishal, Sunila, Urvashi",unknown,1999,unknown
Krishna Babu,Muthyala Subbaiah,"Nandamuri Balakrishna, Raasi, Meena, Abbas, Chandra Mohan",unknown,1999,Drama
Maa Balaji,Kodi Ramakrishna,"Vadde Naveen, Maheshwari, Brahmanandam",unknown,1999,unknown
Manasichi Choodu,Suresh Varma,"Vadde Naveen, Raasi",unknown,1999,unknown
Manasulo Maata,S. V. Krishna Reddy,"Jagapati Babu, Meka Srikanth, Mahima Chowdhary",unknown,1999,unknown
Manikyam,Mutyala Subbaiah,"Srikanth, Devayani, Sanghavi",unknown,1999,unknown
Maya,Rama Narayanan,"Napolean, Nagma",unknown,1999,unknown
