Title,Director,Cast,Genre,Year,new_Genre
Patriot a.k.a. Desh Deepak,Nanubhai Vakil,"Putli, Inamdar, Manilal, Damyanti, thatte, Bhagwat",Costume,1930,Costume
Prithviraj Samyukta,N. D. Sarpotdar,"Amboo, Balasaheb, Bhagirathi, H. Dhodke",Historical Drama,1930,Historical Drama
Raj Kumari a.k.a. The Princess,Ramakant-Gharekhan,"Mumtaz, Ata Mohammed, Navinchandra, Mangle",Costume,1930,Costume
Raj Laxmi,Chandulal Shah,"Gohar, Raja Sandow, Ghanashyam, Putli, Baba Vyas",Costume,1930,Costume
Raj Mukut a.k.a. Royal Crown,Behram Vasania,"Tara, Ratanshah",Costume,1930,Costume
Ram Rahim,K. P. Bhave,"E. Billimoria, Gohar, W. M. Khan, Mazhar Khan, Jagtap",Social,1930,Social
Ranak Devi,"Dhaiber, Nanubhai Vakil","Ishwarlal, Kamla, Baburao Sansare, Bhagwat, Bajar Battoo, Dhaiber, Manilal",Historical,1930,Historical
Rani Saheba a.k.a. Her Highness/Bazarbattu,"Chunilal Parekh, V. Shantaram","V. Shantaram, Keshavrao Dhaiber, Baburao Pendharkar, Anant Apte",Children,1930,Children
Radhe Shyam,Madhusudan Samarth,"Laxmi, Bachu, Kamala, K. Rangarao",Mythology,1930,Mythology
Revenge a.k.a. Intaqam,K. P. Bhave,"E. Billimoria, Sultana, Mazhar Khan, W. M. Khan, Baburao Sansare, Madanrai Vakil",Action,1930,Action
Rogue Of Rajasthan a.k.a. Mewad No Mawali,Madanrai Vakil,"E. Billimoria, Nirasha, Mehboob Khan",Action Historical,1930,Action Historical
Romances Of Radha a.k.a. Rasili Radha,Nanubhai Vakil,"D. Billimoria, Ishwarlal, Shanta Kumari, Thatte",Social,1930,Social
Rose Of Komalner a.k.a. Komalner Ni Kusum,Dhirubhai Desai,"Jani Babu, Prabha Shankar, Lobo",Action,1930,Action
Royal Rivals a.k.a. Nai Roshni,Bhagwati Mishra,"Ermeline, Jal Merchant, Yakub, Rajkumari",Costume,1930,Costume
Royal Savage a.k.a. Kalika No Kop (1),"Haribhai Desai, Sundarrao Nadkarni","Roshan, Laxmi, Miss Jena, Zhunzharrao Pawar, Baby Gabroo, Ganpat Bakre, Baburao Gade",Costume,1930,Costume
The Arabian Knight a.k.a. Sher-E-Arab,Bhagwati Mishra,"Prithviraj Kapoor, Dewan Sharan, Indira Devi, Jagdish Sethi",Fantasy,1930,Fantasy
the Bomb a.k.a. Vasant Bengali/Bengali Bomb,Pesi Karani,"Ermeline, Jal Merchant, Jilloobai, Zaverbhai",Action,1930,Action
The Comet a.k.a. Dhumketu,Sunderrao Nadkarni,"Sultana, Bachu, Laxmi, Gade",Action,1930,Action
