Title,Director,Cast,Genre,Year,new_Genre
Prefontaine,Steve James,"Jared Leto, R. Lee Ermey, Ed O'Neill, Amy Locane","Biography, Drama",1997,"Biography, Drama"
Private Parts,Betty Thomas,"Howard Stern, Robin Quivers, Mary McCormack, Paul Giamatti, Allison Janney","Biography, Comedy",1997,"Biography, Comedy"
The Saint,Phillip Noyce,"Val Kilmer, Elisabeth Shue",Thriller,1997,Thriller
Scream 2,Wes Craven,"David Arquette, Neve Campbell, Courteney Cox, Omar Epps, Sarah Michelle Gellar, Laurie Metcalf, Jerry O'Connell, Timothy Olyphant, Jada Pinkett",Horror,1997,Horror
Selena,Gregory Nava,"Jennifer Lopez, Edward James Olmos",Biography,1997,Biography
Seven Years in Tibet,Jean-Jacques Annaud,"Brad Pitt, David Thewlis, Victor Wong, Lhakpa Tsamchoe",Drama,1997,Drama
Shadow Conspiracy,George P. Cosmatos,"Charlie Sheen, Donald Sutherland, Linda Hamilton, Sam Waterston, Stephen Lang, Ben Gazzara",Drama,1997,Drama
She's So Lovely,Nick Cassavetes,"Sean Penn, Robin Wright Penn, John Travolta",Drama,1997,Drama
A Simple Wish,Michael Ritchie,"Martin Short, Mara Wilson, Kathleen Turner",Fantasy,1997,Fantasy
Six Ways to Sunday,Adam Bernstein,"Adrien Brody, Deborah Harry",Drama,1997,Drama
A Smile Like Yours,Keith Samples,"Greg Kinnear, Lauren Holly, Joan Cusack, Jay Thomas, Jill Hennessy, Christopher McDonald",Comedy,1997,Comedy
Soul Food,"George Tillman, Jr.","Vanessa L. Williams, Vivica A. Fox, Nia Long, Michael Beach","Comedy, Drama",1997,"Comedy, Drama"
The Spanish Prisoner,David Mamet,"Campbell Scott, Steve Martin, Rebecca Pidgeon",Drama,1997,Drama
Spawn,Mark A.Z. Dippe,"Michael Jai White, John Leguizamo, Martin Sheen, Theresa Randle, Nicol Williamson, D. B. Sweeney",Horror,1997,Horror
Speed 2: Cruise Control,Jan de Bont,"Sandra Bullock, Jason Patric, Willem Dafoe, Temeura Morrison",Action,1997,Action
Sprung,Rusty Cundieff,"Tisha Campbell, Paula Jai Parker",Comedy,1997,Comedy
Star Kid,Manny Coto,"Joseph Mazzello, Richard Gilliland",Family,1997,Family
Starship Troopers,Paul Verhoeven,"Casper Van Dien, Dina Meyer, Denise Richards, Jake Busey, Neil Patrick Harris, Patrick Muldoon, Clancy Brown, Michael Ironside",Science fiction,1997,Science fiction
Steel,Kenneth Johnson,"Shaquille O'Neal, Annabeth Gish, Judd Nelson, Richard Roundtree, Ray J",Action,1997,Action
Suicide Kings,Peter O'Fallon,"Christopher Walken, Denis Leary, Henry Thomas, Johnny Galecki, Sean Patrick Flanery, Jay Mohr, Laura San Giacomo",Drama,1997,Drama
Sunday,Jonathan Nossiter,"David Suchet, Lisa Harrow, Jared Harris",Black comedy,1997,Black comedy
Swept from the Sea,Beeban Kidran,"Rachel Weisz, Ian McKellen, Kathy Bates",Drama,1997,Drama
Switchback,Jeb Stuart,"Dennis Quaid, Danny Glover, Jared Leto",Thriller,1997,Thriller
Telling Lies in America,Guy Ferland,"Kevin Bacon, Brad Renfro",Drama,1997,Drama
That Darn Cat,Bob Spiers,"Christina Ricci, Doug E. Doug",Family,1997,Family
That Old Feeling,Carl Reiner,"Bette Midler, Dennis Farina",Comedy,1997,Comedy
"This World, Then the Fireworks",Michael Oblowitz,"Billy Zane, Gina Gershon, Sheryl Lee",Drama,1997,Drama
A Thousand Acres,Jocelyn Moorhouse,"Jessica Lange, Michelle Pfeiffer, Jennifer Jason Leigh, Jason Robards, Colin Firth",Drama,1997,Drama
'Til There Was You,Scott Winant,"Jeanne Tripplehorn, Dylan McDermott, Sarah Jessica Parker",Rom com,1997,Rom com
