Title,Director,Cast,Genre,Year,new_Genre
An Arcadian Maid,D. W. Griffith,"Mary Pickford, Mack Sennett",Drama,1910,Drama
As It Is In Life,D. W. Griffith,"George Nichols, Gladys Egan, Mary Pickford",Romantic drama,1910,Romantic drama
The Courtship of Miles Standish,Hobart Bosworth,Robert Z. Leonard,Drama,1910,Drama
The Englishman and the Girl,D. W. Griffith,"Charles Craig, Mary Pickford",Comedy,1910,Comedy
The Fugitive,D. W. Griffith,"Kate Bruce, Edward Dillon",Drama,1910,Drama
The House with Closed Shutters,D. W. Griffith,Henry B. Walthall,Drama,1910,Drama
In Old California,D. W. Griffith,"Frank Powell, Arthur V. Johnson, Marion Leonard, Henry B. Walthall",Melodrama,1910,Melodrama
In the Border States,D. W. Griffith,Charles West,Drama,1910,Drama
A Lad from Old Ireland,Sidney Olcott,"Sidney Olcott, Gene Gauntier, Thomas O'Connor",Drama,1910,Drama
Pride of the Range,Francis Boggs,Tom Mix,Western,1910,Western
Ramona,D. W. Griffith,"Mary Pickford, Henry B. Walthall",Drama,1910,Drama
The Rocky Road,D. W. Griffith,"Frank Powell, Stephanie Longfellow",Drama,1910,Drama
Roosevelt in Africa,Cherry Kearton,Theodore Roosevelt,Documentary,1910,Documentary
Rose O'Salem-Town,D. W. Griffith,Henry B. Walthall,Drama short,1910,Drama short
The Two Brothers,D. W. Griffith,Arthur V. Johnson,Western,1910,Western
The Unchanging Sea,D. W. Griffith,Arthur V. Johnson,Drama,1910,Drama
The Black Arrow: A Tale of the Two Roses,Oscar Apfel,"Charles Ogle, Natalie Jerome",Drama,1911,Drama
Brown of Harvard,Colin Campbell,Edgar G. Wynn,Drama,1911,Drama
Her Awakening,D. W. Griffith,"Mabel Normand, Harry Hyde",Drama,1911,Drama
The Higher Law,George Nichols,"William Garwood, James Cruze",Drama,1911,Drama
David Copperfield,Theodore Marston,"Marie Eline, Florence La Badie, Mignon Anderson, William Russell",Drama,1911,Drama
His Trust Fulfilled,D. W. Griffith,Wilfred Lucas,Drama,1911,Drama
The Italian Barber,D. W. Griffith,"Joseph Graybill, Mary Pickford",Drama,1911,Drama
The Last of the Mohicans,Theodore Marston,James Cruze,Drama,1911,Drama
The New Superintendent,Francis Boggs,Herbert Rawlinson,Drama,1911,Drama
Princess Clementina,William G.B. Barker,"H. B. Irving, Alice Young",Adventure,1911,Adventure
The Scarlet Letter,"Joseph W. Smiley, George Loane Tucker","King Baggot, Lucille Young",Drama,1911,Drama
She,George Nichols,Marguerite Snow,Fantasy,1911,Fantasy
Sweet Memories,Thomas H. Ince,"Mary Pickford, King Baggot",Drama,1911,Drama
That's Happiness,George Nichols,"William Garwood, Bertha Blanchard",Drama,1911,Drama
The Two Paths,D. W. Griffith,"Dorothy Bernard, Wilfred Lucas",Drama,1911,Drama
The Voice of the Child,D. W. Griffith,Edwin August,Drama,1911,Drama
All for a Girl,Frederick A. Thomson,"Dorothy Kelly, Leah Baird",Romantic comedy,1912,Romantic comedy
Aurora Floyd,Theodore Marston,"William Garwood, Florence La Badie, Harry Benham",Drama,1912,Drama
The Belle of Bar-Z Ranch,Tom Ricketts,"Harry von Meter, Vivian Rich",Western,1912,Western
The Charge of the Light Brigade,J. Searle Dawley,"James Gordon, Richard Neill",War,1912,War
The Cry of the Children,George Nichols,"Marie Eline, Ethel Wright, James Cruze.",Drama,1912,Drama
The Deserter,Thomas H. Ince,"Francis Ford, Ethel Grandin",Western,1912,Western
The Eternal Mother,D. W. Griffith,"Edwin August, Blanche Sweet",Drama,1912,Drama
Dr. Jekyll and Mr. Hyde,Lucius Henderson,James Cruze,Horror,1912,Horror
For His Son,D. W. Griffith,Charles Hill Mailes,Drama,1912,Drama
For the Cause of the South,Bannister Merwin,"Laura Sawyer, Benjamin Wilson, Charles Ogle",Romantic drama,1912,Romantic drama
His Only Son,Jack Conway and Milton J. Fahrney,"Wallace Reid, Dorothy Davenport",Western,1912,Western
The Land Beyond the Sunset,Harold M. Shaw,"Martin Fuller, Mrs. William Bechtel, Walter Edwin, Bigelow Cooper",Drama,1912,Drama
The Little Girl Next Door,Lucius J. Henderson,"William Garwood, Marguerite Snow",Drama,1912,Drama
The Musketeers of Pig Alley,D. W. Griffith,"Elmer Booth, Lillian Gish",Drama,1912,Drama
The Old Bookkeeper,D. W. Griffith,"W. Chrystie Miller, Blanche Sweet",Drama,1912,Drama
Put Yourself in His Place,Theodore Marston,"William Garwood, Marguerite Snow",Drama,1912,Drama
When the Heart Calls,Al Christie,"Lee Moran, Russell Bassett, Louise Glaum",Western comedy,1912,Western comedy
The Adventures of Kathlyn,Francis J. Grandon,Kathlyn Williams,Adventure serial,1913,Adventure serial
American Born,Lorimer Johnston,"Sydney Ayres, Harry von Meter, Charles Cummings",Drama,1913,Drama
Back to Life,Allan Dwan,"J. Warren Kerrigan, Pauline Bush",Drama,1913,Drama
Barney Oldfield's Race for a Life,Mack Sennett,"Mack Sennett, Mabel Normand, Ford Sterling, Barney Oldfield",Comedy,1913,Comedy
Beau Brummel,James Young,"James Young, Clara Kimball Young",Adventure,1913,Adventure
Bloodhounds of the North,Allan Dwan,"Murdock MacQuarrie, Pauline Bush",Drama,1913,Drama
Cohen Saves the Flag,Mack Sennett,"Ford Sterling, Mabel Normand",Comedy,1913,Comedy
Cupid in a Dental Parlor,Henry Lehrman,Fred Mace,Comedy,1913,Comedy
A Desperate Chance,Kenean Buel,"Earle Foxe, Alice Hollister, Robert G. Vignola, Helen Lindroth, Miriam Cooper",Drama,1913,Drama
Dr. Jekyll and Mr. Hyde,Herbert Brenon and Carl Laemmle,King Baggot,Horror,1913,Horror
The Evidence of the Film,"Lawrence Marston, Edwin Thanhouser","William Garwood, Marie Eline",Crime,1913,Crime
For the Flag,Lorimer Johnston,Charlotte Burton,Drama,1913,Drama
The Greater Love,Allan Dwan,"Charlotte Burton, Mabel Brown, Edward Coxen",Drama,1913,Drama
His Chum the Baron,Mack Sennett,Ford Sterling,Comedy,1913,Comedy
In the Secret Service,Henry MacRae,Charles Bartlett,Western,1913,Western
Justice of the Wild,Frank E. Montgomery,"Harry von Meter, Mona Darkfeather",Adventure,1913,Adventure
Lady Babbie,Oscar A. C. Lund,"Barbara Tennant, Oscar A. C. Lund",Drama,1913,Drama
A Little Hero,George Nichols,"Mabel Normand, Harold Lloyd",Comedy,1913,Comedy
Oil and Water,D. W. Griffith,"Blanche Sweet, Henry B. Walthall, Lionel Barrymore",Drama,1913,Drama
The Old Monk's Tale,J. Searle Dawley,Ben F. Wilson,Drama,1913,Drama
The Quakeress,Raymond B. West,Louise Glaum,Drama,1913,Drama
The Restless Spirit,Allan Dwan,"J. Warren Kerrigan, Pauline Bush",Drama,1913,Drama
The Rose of San Juan,Sydney Ayres,"Sydney Ayres, Charlotte Burton, Louise Lester",Drama,1913,Drama
"Sally Scraggs, Housemaid",Robert Z. Leonard,"Robert Z. Leonard, Margarita Fischer",Comedy,1913,Comedy
Shadows of the Moulin Rouge,Alice Guy,"Fraunie Fraunholz, Claire Whitney",Drama,1913,Drama
The Telephone Girl and the Lady,D. W. Griffith,"Mae Marsh, Claire McDowell",Drama,1913,Drama
Three Friends,D. W. Griffith,"Henry B. Walthall, Blanche Sweet, Lionel Barrymore",Drama,1913,Drama
The Twelfth Juror,George Lessey,Ben F. Wilson,Drama,1913,Drama
Unto the Third Generation,Harry Solter,"Earle Foxe, Florence Lawrence, Matt Moore",Romantic drama,1913,Romantic drama
Woman's Honor,Allan Dwan,"Charlotte Burton, Louise Lester",Drama,1913,Drama
Across the Pacific,Edwin Carewe,"Dorothy Dalton, Samuel E. Hines",Adventure,1914,Adventure
The Amateur Detective,Carroll Fleming,"Carey L. Hastings, Ernest C. Warde, Muriel Ostriche",Comedy,1914,Comedy
An American Citizen,J. Searle Dawley,"John Barrymore, Alexander Gaden",Comedy,1914,Comedy
The Archeologist,Henry Otto,"Charlotte Burton, Edward Coxen, George Field, Winifred Greenwood, John Steppling",Drama,1914,Drama
Aristocracy,Thomas N. Heffron,"Tyrone Power Sr., Edna Mayo",Drama,1914,Drama
At the Potter's Wheel,Lorimer Johnston,"Charlotte Burton, Sydney Ayres, Caroline Frances Cooke, Louise Lester, Jack Richardson, Vivian Rich",Drama,1914,Drama
The Avenging Conscience,D. W. Griffith,"Henry B. Walthall, Blanche Sweet","Drama, Horror",1914,"Drama, Horror"
Back to the Farm,Oliver Hardy,"Herbert Tracey, Royal Byron, Eloise Willard, Mabel Paige, Oliver Hardy",Comedy,1914,Comedy
The Bargain,Reginald Barker,"William S. Hart, J. Barney Sherry, Clara Williams",Western,1914,Western
Barnyard Flirtations,Fatty Arbuckle,Fatty Arbuckle,Comedy,1914,Comedy
A Bath House Beauty,Fatty Arbuckle,Fatty Arbuckle,Comedy,1914,Comedy
The Battle of the Sexes,D. W. Griffith,"Donald Crisp, Lillian Gish",Drama,1914,Drama
The Boer War,George Melford,"Jane Wolfe, Marin Sais",War drama,1914,War drama
"Break, Break, Break",Harry A. Pollard,"B. Reeves Eason, William Garwood, Louise Lester, Jack Richardson, Vivian Rich, Harry von Meter",Drama,1914,Drama
Brewster's Millions,"Oscar Apfel, Cecil B. DeMille","Edward Abeles, Sydney Deane, Joseph Singleton",Comedy,1914,Comedy
Brute Force,D. W. Griffith,"Robert Harron, Mae Marsh, William J. Butler, Wilfred Lucas",Drama,1914,Drama
A Busy Day,Charlie Chaplin,"Charlie Chaplin, Mack Swain, Phyllis Allen",Comedy,1914,Comedy
Calamity Anne's Love Affair,Tom Ricketts,"Charlotte Burton, Louise Lester, George Field, Edith Borella, B. Reeves Eason",Western,1914,Western
The Call of the North,"Oscar Apfel, Cecil B. DeMille","Robert Edeson, Theodore Roberts",Adventure,1914,Adventure
Called Back,Otis Turner,"Herbert Rawlinson, Ann Little, Allan Forrest",Drama,1914,Drama
The Cameo of the Yellowstone,Sydney Ayres,"William Garwood, Harry De Vere, Louise Lester",Western,1914,Western
Captain Alvarez,Rollin S. Sturgeon,"Edith Storey, William Desmond Taylor, George Holt",Historical Drama,1914,Historical Drama
Caught in a Cabaret,Mabel Normand,"Charlie Chaplin, Mabel Normand, Edgar Kennedy",Comedy,1914,Comedy
Caught in the Rain,Charlie Chaplin,"Charlie Chaplin, Mack Swain, Alice Davenport",Comedy,1914,Comedy
Chicken Chaser,Roscoe Arbuckle,"Fatty Arbuckle, Gordon Griffith",Comedy,1914,Comedy
Cinderella,James Kirkwood,"Mary Pickford, Owen Moore, Isobel Vernon",Fantasy Drama,1914,Fantasy Drama
The Cocoon and the Butterfly,Sydney Ayres,"William Garwood, Louise Lester",Drama,1914,Drama
The Combination of the Safe,Francis J. Grandon,Earle Foxe,Crime drama,1914,Crime drama
"Cruel, Cruel Love","George Nichols, Mack Sennett","Charlie Chaplin, Edgar Kennedy, Minta Durfee",Comedy,1914,Comedy
Destinies Fulfilled,Lorimer Johnston,"Charlotte Burton, Sydney Ayres, Jacques Jaccard, Violet Knights",Comedy,1914,Comedy
Dough and Dynamite,Charlie Chaplin,"Charlie Chaplin, Chester Conklin, Fritz Schade",Comedy,1914,Comedy
The Envoy Extraordinary,Lorimer Johnston,"Jack Nelson, Caroline Frances Cooke",Drama,1914,Drama
The Escape,D. W. Griffith,"Donald Crisp, Blanche Sweet, Mae Marsh",Drama,1914,Drama
The Exploits of Elaine,"Louis J. Gasnier, George B. Seitz, Leopold Wharton","Pearl White, Sheldon Lewis",Drama serial,1914,Drama serial
The Face on the Bar Room Floor,Charles Chaplin,"Charles Chaplin, Cecile Arnold, Fritz Schade",Comedy,1914,Comedy
The Fatal Mallet,Mack Sennett,"Charles Chaplin, Mabel Normand, Mack Sennett",Comedy,1914,Comedy
Fatty's Magic Pants,Roscoe Arbuckle,"Fatty Arbuckle, Charly Chase",Comedy,1914,Comedy
The Floor Above,James Kirkwood Sr.,"Earle Foxe, Henry Walthall, Dorothy Gish",Mystery drama,1914,Mystery drama
The Forbidden Room,Allan Dwan,"Murdock MacQuarrie, Pauline Bush",Drama,1914,Drama
Gentlemen of Nerve,Charlie Chaplin,"Charlie Chaplin, Mabel Normand, Chester Conklin",Comedy,1914,Comedy
Gertie the Dinosaur,Winsor McCay,"Winsor McCay, George McManus",Cartoon,1914,Cartoon
Getting Acquainted,Charlie Chaplin,"Charlie Chaplin, Mabel Normand, Phyllis Allen",Comedy,1914,Comedy
The Ghost Breaker,"Oscar Apfel, Cecil B. DeMille","H. B. Warner, Rita Stanwood, Theodore Roberts",Drama,1914,Drama
A Good Little Devil,"Edwin S. Porter, J. Searle Dawley","Mary Pickford, Ernest Truex, David Belasco",Drama,1914,Drama
Her Friend the Bandit,Charles Chaplin,"Charles Chaplin, Mabel Normand, Charles Murray",Comedy,1914,Comedy
Her Younger Sister,Frank Cooley,"Charlotte Burton, Fred Gamble",Comedy,1914,Comedy
His Father's Rifle,Edward LeSaint,"Earle Foxe, Bertram Grassby",Drama,1914,Drama
His Favourite Pastime,George Nichols,"Charlie Chaplin, Fatty Arbuckle, Viola Barry",Comedy,1914,Comedy
"His Majesty, the Scarecrow of Oz",J. Farrell MacDonald,"Violet MacMillan, Pierre Couderc",Fantasy,1914,Fantasy
His Musical Career,Charlie Chaplin,"Charlie Chaplin, Mack Swain, Charley Chase",Comedy,1914,Comedy
His New Profession,Charlie Chaplin,"Charlie Chaplin, Charley Chase, Fatty Arbuckle",Comedy,1914,Comedy
His Prehistoric Past,Charlie Chaplin,"Charlie Chaplin, Mack Swain, Fritz Schade",Comedy,1914,Comedy
His Trysting Place,Charlie Chaplin,"Charlie Chaplin, Mabel Normand",Comedy,1914,Comedy
"Home, Sweet Home",D. W. Griffith,"Earle Foxe, Henry B. Walthall, Dorothy Gish",Biographical drama,1914,Biographical drama
The Hopes of Blind Alley,Allan Dwan,"Murdock MacQuarrie, Pauline Bush",Drama,1914,Drama
The Hunchback,Christy Cabanne,"F. A. Turner, William Garwood, Lillian Gish",Drama,1914,Drama
Judith of Bethulia,D. W. Griffith,"Blanche Sweet, Henry B. Walthall",Biblical drama,1914,Biblical drama
The Jungle,"Augustus E. Thomas, George Irving, John H. Pratt","George Nash, Gail Kane, Julia Hurley",Drama,1914,Drama
Kid Auto Races at Venice,Henry Lehrman,Charlie Chaplin,Comedy,1914,Comedy
The Kiss,Ulysses Davis,"Ella Margaret Gibson, George Holt, William Desmond Taylor",Drama,1914,Drama
The Knockout,Charles Avery,"Charlie Chaplin, Fatty Arbuckle, Edgar Kennedy",Comedy,1914,Comedy
Laughing Gas,Charlie Chaplin,"Charlie Chaplin, Fritz Schade",Comedy,1914,Comedy
The Life of General Villa,"Christy Cabanne, Raoul Walsh","Pancho Villa, Irene Hunt, Raoul Walsh",Drama,1914,Drama
Little Lord Fauntleroy,F. Martin Thornton,"H. Agar Lyons, Fred Eustace, Edward Viner",Drama,1914,Drama
A Little Madonna,Ulysses Davis,"William Desmond Taylor, Patricia Palmer",Drama,1914,Drama
The Livid Flame,Francis J. Grandon,"Earle Foxe, Lafe McKee",Drama,1914,Drama
Love and Bullets,Fatty Arbuckle,"Fatty Arbuckle, Phyllis Allen, Charley Chase",Comedy,1914,Comedy
"Lucille Love, Girl of Mystery",Francis Ford,"Grace Cunard, Francis Ford, Harry Schumm, John Ford",Action serial,1914,Action serial
The Lure of the Sawdust,Tom Ricketts,"Charlotte Burton, George Field, Edward Coxen",Drama,1914,Drama
Mabel at the Wheel,"Mabel Normand, Mack Sennett","Charlie Chaplin, Mabel Normand",Comedy,1914,Comedy
Mabel's Blunder,Mabel Normand,"Mabel Normand, Charly Chase, Al St. John",Comedy,1914,Comedy
Mabel's Busy Day,Mabel Normand,"Charlie Chaplin, Mabel Normand",Comedy,1914,Comedy
Mabel's Married Life,Charlie Chaplin,"Charlie Chaplin, Mabel Normand",Comedy,1914,Comedy
Mabel's Strange Predicament,Henry Lehrman,"Charlie Chaplin, Mabel Normand",Comedy,1914,Comedy
The Magic Cloak of Oz,J. Farrell MacDonald,"Juanita Hansen, Violet MacMillan, Mildred Harris",Fantasy drama,1914,Fantasy drama
Making a Living,Henry Lehrman,"Charlie Chaplin, Virginia Kirtley, Alice Davenport",Comedy,1914,Comedy
The Man from Home,Cecil B. DeMille,"Charles Richman, Theodore Roberts, Fred Montague",Drama,1914,Drama
The Masquerader,Charlie Chaplin,"Charlie Chaplin, Fatty Arbuckle",Comedy,1914,Comedy
The Master Key,Robert Z. Leonard,"Robert Z. Leonard, Ella Hall",Serial,1914,Serial
The Master Mind,"Oscar Apfel, Cecil B. DeMille","Edmund Breese, Fred Montague, Jane Darwell",Crime drama,1914,Crime drama
Michael Strogoff,Lloyd B. Carleton,"Jacob P. Adler, Daniel Makarenko, Eleanor Barry",Drama,1914,Drama
Mein Lieber Katrina Catches a Convict,Tom Ricketts,"Charlotte Burton, Harry De Vere, Perry Banks",Comedy,1914,Comedy
Mrs. Wiggs of the Cabbage Patch,Harold Entwistle,"Beatriz Michelena, House Peters",Comedy drama,1914,Comedy drama
The Mystery of the Hindu Image,Raoul Walsh,"Raoul Walsh, Dark Cloud, Eagle Eye",Drama,1914,Drama
Neptune's Daughter,Herbert Brenon,"Annette Kellerman, William E. Shay, William Welsh",Fantasy,1914,Fantasy
The New Janitor,Charlie Chaplin,"Charlie Chaplin, Jess Dandy, John T. Dillon",Comedy,1914,Comedy
Old Enough to Be Her Grandpa,Tom Ricketts,"Charlotte Burton, William Garwood",Comedy,1914,Comedy
The Patchwork Girl of Oz,J. Farrell MacDonald,"Violet MacMillan, Pierre Couderc",Fantasy drama,1914,Fantasy drama
The Perils of Pauline,Louis J. Gasnier,Pearl White,Adventure serial,1914,Adventure serial
The Power of Light,Lorimer Johnston,"Charlotte Burton, Sydney Ayres, Jacques Jaccard",Drama,1914,Drama
The Property Man,Charlie Chaplin,"Charlie Chaplin, Phyllis Allen, Alice Davenport",Comedy,1914,Comedy
Recreation,Charles Chaplin,Charles Chaplin,Comedy,1914,Comedy
The Redemption of a Pal,Henry Otto,"Edith Borella, Charlotte Burton, George Field",Drama,1914,Drama
Richelieu,Allan Dwan,"Murdock MacQuarrie, William C. Dowlan",Biopic,1914,Biopic
Rose of the Rancho,Cecil B. DeMille,"Bessie Barriscale, Jane Darwell, Jeanie MacPherson",Western,1914,Western
"Rosemary, That's for Remembrance",Francis J. Grandon,"Earle Foxe, Adda Gleason",Drama,1914,Drama
The Rounders,Charlie Chaplin,"Charlie Chaplin, Fatty Arbuckle, Phyllis Allen",Comedy,1914,Comedy
Salomy Jane,William Nigh,"Beatriz Michelena, House Peters",Western,1914,Western
Samson,J. Farrell MacDonald,"J. Warren Kerrigan, George Periolat, Lule Warrenton",Drama,1914,Drama
Shotgun Jones,Colin Campbell,Wheeler Oakman,Western,1914,Western
Should a Woman Divorce?,Edwin McKim,"Lea Leland, Leonid Samoloff",Drama,1914,Drama
Sir Galahad of Twilight,Sydney Ayres,"Perry Banks, B. Reeves Eason, William Garwood",Drama,1914,Drama
The Song of the Sea Shell,William Desmond Taylor,"Edith Borella, Charlotte Burton, George Field",Drama,1914,Drama
The Sower Reaps,Tom Ricketts,"William Garwood, Harry von Meter, Vivian Rich",Drama,1914,Drama
The Spoilers,Colin Campbell,"William Farnum, Kathlyn Williams, Tom Santschi",Drama,1914,Drama
The Squaw Man,"Oscar Apfel, Cecil B. DeMille",Dustin Farnum,Western,1914,Western
The Star Boarder,George Nichols,"Charlie Chaplin, Minta Durfee, Edgar Kennedy, Alice Davenport, Gordon Griffith",Comedy,1914,Comedy
The Strength o' Ten,Tom Ricketts,"William Garwood, Harry von Meter",Drama,1914,Drama
Sweet and Low,William Desmond Taylor,"William Garwood, Harry von Meter",Drama,1914,Drama
Such a Little Queen,"Edwin S. Porter, Hugh Ford","Mary Pickford, Harold Lockwood",Comedy,1914,Comedy
Tango Tangles,Mack Sennett,"Charlie Chaplin, Fatty Arbuckle, Ford Sterling",Comedy,1914,Comedy
The Telltale Knife,Tom Mix,"Tom Mix, Hoot Gibson",Western,1914,Western
Tess of the Storm Country,Edwin S. Porter,Mary Pickford,Drama,1914,Drama
Those Love Pangs,Charlie Chaplin,"Charlie Chaplin, Chester Conklin, Cecile Arnold",Comedy,1914,Comedy
Tillie's Punctured Romance,Mack Sennett,"Charlie Chaplin, Marie Dressler, Mabel Normand, Keystone Kops",Comedy,1914,Comedy
To Be Called For,Francis J. Grandon,"Adda Gleason, Lafe McKee, Earle Foxe",Comedy,1914,Comedy
True Western Hearts,William Desmond Taylor,"Sydney Ayres, Helen Armstrong, Jacques Jaccard",Western,1914,Western
A Turn of the Cards,William Garwood,"William Garwood, Howard Davies, William Lowery",Drama,1914,Drama
Twenty Minutes of Love,Charlie Chaplin,"Charlie Chaplin, Minta Durfee, Edgar Kennedy",Comedy,1914,Comedy
Uncle Tom's Cabin,William Robert Daly,"Sam Lucas, Teresa Michelena, Roy Applegate",Drama,1914,Drama
The Unlawful Trade,Allan Dwan,"Pauline Bush, William Lloyd",Drama,1914,Drama
Unto the Weak,Allan Dwan,"Charlotte Burton, William Bertram",Drama,1914,Drama
The Virginian,Cecil B. DeMille,Dustin Farnum,Western,1914,Western
What's His Name,Cecil B. DeMille,"Max Figman, Lolita Robertson",Comedy,1914,Comedy
When a Woman Waits,Henry Otto,"Charlotte Burton, Bessie Banks",Drama,1914,Drama
When Rome Ruled,George Fitzmaurice,"Nell Craig, Clifford Bruce, Riley Hatch",Historical,1914,Historical
